rho,epsilon_pct,tp,fp,tn,fn,precision,recall,f1,false_positive_rate,false_negative_rate
0.85,0,3,1,2,0,0.75,1,0.8571428571428571,0.3333333333333333,0
0.85,0.02,3,1,2,0,0.75,1,0.8571428571428571,0.3333333333333333,0
0.85,0.05,3,1,2,0,0.75,1,0.8571428571428571,0.3333333333333333,0
0.85,0.1,3,0,3,0,1,1,1,0,0
0.9,0,3,0,3,0,1,1,1,0,0
0.9,0.02,3,0,3,0,1,1,1,0,0
0.9,0.05,3,0,3,0,1,1,1,0,0
0.9,0.1,2,0,3,1,1,0.6666666666666666,0.8,0,0.3333333333333333
0.95,0,3,0,3,0,1,1,1,0,0
0.95,0.02,2,0,3,1,1,0.6666666666666666,0.8,0,0.3333333333333333
0.95,0.05,2,0,3,1,1,0.6666666666666666,0.8,0,0.3333333333333333
0.95,0.1,1,0,3,2,1,0.3333333333333333,0.5,0,0.6666666666666666
1,0,2,0,3,1,1,0.6666666666666666,0.8,0,0.3333333333333333
1,0.02,1,0,3,2,1,0.3333333333333333,0.5,0,0.6666666666666666
1,0.05,1,0,3,2,1,0.3333333333333333,0.5,0,0.6666666666666666
1,0.1,0,0,3,3,0,0,0,0,1
